City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
namibe,40,3600,1620053316,58,-15.1961,12.1522,86,11.5
coos bay,1,-25200,1620053316,93,43.3665,-124.2179,46.99,9.22
scarborough,100,3600,1620053316,87,54.2797,-0.4044,44.01,7
palabuhanratu,,,,,,,,
hokitika,92,43200,1620053317,77,-42.7167,170.9667,53.24,3.15
satitoa,,,,,,,,
nizhneyansk,,,,,,,,
el dorado,1,-25200,1620053318,25,38.7666,-120.5177,63,11.5
sarakhs,90,16200,1620053318,46,36.5449,61.1577,73.4,6.91
haines junction,100,-25200,1620053056,86,60.7522,-137.5108,24.8,1.14
porangatu,0,-10800,1620053319,47,-13.4408,-49.1486,85.57,2.73
shache,100,28800,1620053320,16,38.4167,77.2406,74.1,6.76
chechat,62,19800,1620053320,22,24.7667,75.8833,89.76,6.46
roma,1,-14400,1620053188,72,43.2128,-75.4557,63,9.22
severnoye,100,25200,1620053321,84,56.3491,78.3619,48.78,9.26
carnot,82,3600,1620053321,68,4.9409,15.8665,82.67,7.45
bairiki,20,43200,1620053321,83,1.3292,172.9752,82.4,6.91
deshnok,,,,,,,,
verkhnyaya inta,100,10800,1620053322,66,65.9811,60.3094,33.46,17.43
ayr,75,3600,1620053323,87,55.4627,-4.6339,39.2,23.02
urengoy,11,18000,1620053323,93,65.9667,78.3667,26.62,8.25
semirom,65,16200,1620053323,43,31.4167,51.5667,50.72,7.58
praya,20,-3600,1620053324,53,14.9215,-23.5087,77,19.57
saint-francois,0,7200,1620053324,39,46.4154,3.9054,64,3.44
barabai,89,28800,1620053325,86,-2.5833,115.3833,77.25,2.33
newcastle,100,36000,1620053278,100,-32.9272,151.7765,64,6.6
bozeman,1,-21600,1620053100,75,45.6796,-111.0386,42.01,2.08
victoria,80,28800,1620053284,91,22.2855,114.1577,78.01,3
fukue,81,32400,1620053326,66,32.6881,128.8419,62.74,13.67
presidencia roque saenz pena,55,-10800,1620053326,65,-26.7852,-60.4388,87.01,5.01
disa,70,19800,1620053327,20,24.25,72.1667,89.71,7.56
san antonio,90,-18000,1620053119,69,29.4241,-98.4936,77,4.61
sibolga,100,25200,1620053328,86,1.7427,98.7792,79.05,3.24
okhotsk,39,36000,1620053328,83,59.3833,143.3,33.91,3.6
tazovskiy,7,18000,1620053328,95,67.4667,78.7,21.27,7.2
kapoeta,100,7200,1620053329,50,4.7717,33.5903,81.39,6.33
kletskaya,100,10800,1620053329,49,49.3145,43.0584,71.37,15.46
mildura,83,36000,1620053220,76,-34.2,142.15,53.6,8.05
carnarvon,90,28800,1620053330,94,-24.8667,113.6333,62.6,12.66
zheshart,100,10800,1620053330,42,62.0731,49.5733,43.12,4.38
kupino,100,25200,1620053331,87,54.3663,77.2981,50.7,17.52
sterling,90,-14400,1620053123,77,39.0062,-77.4286,66.99,3.44
kununurra,28,28800,1620053331,78,-15.7667,128.7333,69.8,3.44
murray bridge,75,34200,1620053332,97,-35.1167,139.2667,53.01,15.48
vaitupu,,,,,,,,
itaituba,40,-10800,1620053333,70,-4.2761,-55.9836,86,3.44
barentsburg,,,,,,,,
storforshei,,,,,,,,
edd,100,10800,1620053334,62,13.9297,41.6925,87.1,4.65
aykhal,100,32400,1620053334,98,66,111.5,30.09,2.93
bathsheba,75,-14400,1620053334,69,13.2167,-59.5167,78.8,20.71
tsiroanomandidy,8,10800,1620053335,78,-18.7667,46.0333,67.35,4.72
tacarigua,100,-14400,1620053335,72,10.0862,-67.9198,32,2.66
atar,0,0,1620053185,9,20.5169,-13.0499,97.38,9.6
flin flon,90,-18000,1620053103,64,54.7682,-101.865,28.4,8.05
saint-vallier,0,7200,1620053336,39,46.6411,4.3711,64,3.44
dolbeau,,,,,,,,
ambilobe,80,10800,1620053337,88,-13.2,49.05,76.91,2.17
asau,51,10800,1620053342,31,46.4333,26.4,60.01,10.38
shubarshi,88,18000,1620053343,31,48.5872,57.1869,69.85,5.75
pisco,74,-18000,1620053343,83,-13.7,-76.2167,68,8.05
jacqueville,40,0,1620053344,79,5.2052,-4.4146,86,13.8
ginir,97,10800,1620053344,81,7.1333,40.7,62.83,2.68
ancud,0,-14400,1620053345,87,-41.8697,-73.8203,52,3.44
muslyumovo,100,10800,1620053345,67,55.3033,53.1947,56.66,8.88
saint-philippe,0,14400,1620053346,78,-21.3585,55.7679,78.8,2.3
flinders,100,36000,1620053346,79,-34.5833,150.8552,63,3
maceio,75,-10800,1620053347,69,-9.6658,-35.7353,82.4,6.91
ngama,87,3600,1620053347,8,11.7833,17.1667,105.75,11.3
vardo,40,7200,1620053348,75,70.3705,31.1107,33.8,10.36
dukat,84,39600,1620053348,99,62.55,155.55,7.83,2.8
tver,82,10800,1620053109,78,56.8619,35.8931,48.83,13.53
leh,6,19800,1620053349,32,34.1667,77.5833,49.15,4.23
broome,100,-14400,1620053349,75,42.2506,-75.833,61,6.78
vesoul,0,7200,1620053181,38,47.5833,5.8333,61,6.91
deputatskiy,98,36000,1620053350,97,69.3,139.9,23.49,3.89
seoni,60,19800,1620053350,35,22.0833,79.5333,81.99,3.67
alugan,96,28800,1620053351,87,12.2188,125.4808,80.13,14.09
santiago de cao,20,-18000,1620053351,78,-7.9589,-79.2392,69.8,6.91
vanavara,100,25200,1620053352,94,60.34,102.2797,33.31,4.45
honiara,96,39600,1620053352,88,-9.4333,159.95,77.25,3.11
koppang,100,7200,1620053353,87,61.5706,11.0555,38.79,2.59
ponta delgada,20,0,1620053353,77,37.7333,-25.6667,64.4,6.91
palmerston,0,34200,1620053102,88,-12.486,130.9833,75.2,3.44
buritizeiro,0,-10800,1620053354,39,-17.3511,-44.9622,83.26,4.85
sentyabrskiy,,,,,,,,
ribeira grande,40,0,1620053354,68,38.5167,-28.7,66.2,6.91
paka,97,28800,1620053355,89,4.6374,103.4368,80.6,1.14
sitka,90,-28800,1620053355,87,57.0531,-135.33,44.6,3.44
pevek,76,43200,1620053356,98,69.7008,170.3133,0.18,7.34
tabiauea,,,,,,,,
lolua,,,,,,,,
palmer,100,-14400,1620053357,42,42.1584,-72.3287,64.99,1.99
batagay-alyta,100,32400,1620053357,95,67.8006,130.4114,28.62,0.74
khandyga,38,32400,1620053358,93,62.6667,135.6,31.78,4
wundanyi,100,10800,1620053358,84,-3.4019,38.364,64.72,9.04
mahebourg,40,14400,1620053358,94,-20.4081,57.7,78.8,6.91
pemberton,90,-25200,1620053360,93,50.3164,-122.8027,39.2,2.93
cassilandia,0,-14400,1620053360,27,-19.1133,-51.7342,87.6,7.31
mayumba,100,3600,1620053361,75,-3.432,10.6554,82.49,9.28
sainte-suzanne,0,14400,1620053361,83,-20.9061,55.6089,78.8,9.22
sekoma,0,7200,1620053362,27,-24.4,23.8833,71.96,8.28
chimore,14,-14400,1620053362,55,-16.9833,-65.1333,84.65,4.59
dianopolis,,,,,,,,
teya,100,25200,1620053363,99,60.3778,92.6267,37.35,3.18
korla,100,28800,1620053363,19,41.7597,86.1469,63.45,11.14
sorvag,,,,,,,,
bandarbeyla,100,10800,1620053364,66,9.4942,50.8122,85.1,7.56
whitehorse,75,-25200,1620053365,69,60.7161,-135.0538,30.99,2.3
kargapolye,,,,,,,,
olean,90,-14400,1620053365,71,42.0776,-78.4297,57.99,5.75
vathi,0,10800,1620053366,30,38.4,23.6,86,3.44
bilibino,38,43200,1620053366,95,68.0546,166.4372,-0.29,4.41
cavadinesti,70,10800,1620053366,53,46.0667,28.0169,59.76,14.65
erdaojiang,38,28800,1620053372,40,41.7764,126.0319,50,8.61
miami,75,-14400,1620053284,65,25.7743,-80.1937,87.01,13.8
kargasok,99,25200,1620053373,86,59.0556,80.8572,43.21,6.55
port lincoln,87,34200,1620053373,59,-34.7333,135.8667,59.23,14.43
bakchar,100,25200,1620053373,98,57.0186,82.0711,47.48,3.2
san cristobal,75,-14400,1620053374,94,7.7669,-72.225,77,3.44
louisbourg,,,,,,,,
burns lake,100,-25200,1620053374,93,54.2331,-125.7533,33.8,3.58
irun,40,7200,1620053375,59,43.339,-1.7894,60.8,5.75
yangjiang,30,28800,1620053375,90,21.85,111.9667,76.33,6.82
coahuayana,1,-18000,1620053376,26,18.7333,-103.6833,69.8,1.99
xining,68,28800,1620053376,56,36.6167,101.7667,40.59,10.8
zhadovka,100,14400,1620053377,61,53.5746,46.9498,65.68,15.99
narsaq,75,-7200,1620053377,26,60.9167,-46.05,44.6,41.43
hambantota,75,19800,1620053378,100,6.1241,81.1185,78.8,5.75
buala,65,39600,1620053378,80,-8.145,159.5921,79.84,0.54
olafsvik,3,0,1620053378,48,64.8945,-23.7142,39.18,7.25
san carlos de bariloche,47,-10800,1620053289,53,-41.1456,-71.3082,46.4,11.5
porto novo,20,3600,1620053379,66,6.4965,2.6036,91.4,17.27
gorom-gorom,12,0,1620053379,11,14.4439,-0.2361,107.35,6.93
caxito,75,3600,1620053380,83,-8.5785,13.6643,78.8,10.36
valparaiso,40,-14400,1620053380,82,-33.0393,-71.6273,57.99,4.61
eureka,6,-25200,1620053305,92,40.8021,-124.1637,50,5.41
lauria,100,7200,1620053381,66,40.0465,15.8358,57.78,4.14
acarau,97,-10800,1620053381,76,-2.8856,-40.12,81.68,9.19
salym,86,18000,1620053382,48,60.0625,71.4789,40.33,4.16
wasilla,1,-28800,1620053382,65,61.5814,-149.4394,37.99,6.91
puerto gaitan,100,-18000,1620053383,90,4.3133,-72.0816,71.69,6.85
vyazemskiy,40,36000,1620053383,62,47.5378,134.7525,40.78,5.1
bengkulu,95,25200,1620053384,87,-3.8004,102.2655,78.22,4.56
husavik,75,0,1620053384,56,66.0449,-17.3389,37.4,6.91
nome,90,-28800,1620053384,70,64.5011,-165.4064,37.4,10.36
lalibela,100,10800,1620053385,89,12.0333,39.0333,55.09,3.78
saint-denis,0,7200,1620053385,33,48.9167,2.3333,63,12.66
visby,0,7200,1620053386,53,57.6409,18.296,52,6.91
buin,75,-14400,1620053386,66,-33.7333,-70.75,63,3.44
udachnyy,100,32400,1620053387,98,66.4167,112.4,29.52,2.64
sardarshahr,39,19800,1620053387,18,28.4333,74.4833,92.37,8.03
mwene-ditu,73,7200,1620053389,82,-7,23.45,75.38,1.32
marzuq,,,,,,,,
rincon,75,-14400,1620053389,65,32.296,-81.2354,82,10.36
khoni,0,14400,1620053390,27,42.3226,42.4206,87.8,3.44
sur,100,14400,1620053390,43,22.5667,59.5289,89.29,12.41
springbok,99,7200,1620053391,21,-29.6643,17.8865,76.05,4.03
lanzhot,71,7200,1620053391,37,48.7244,16.9669,59,10
bonoua,40,0,1620053391,79,5.2741,-3.595,86,13.8
angoram,87,36000,1620053392,96,-4.0625,144.0661,74.32,1.39
sayat,0,18000,1620053392,22,38.7839,63.8803,87.8,11.5
palimbang,51,28800,1620053393,83,6.2106,124.1894,80.28,3.42
leningradskiy,26,43200,1620053393,92,69.3833,178.4167,2.14,6.15
pozo colorado,,,,,,,,
noumea,90,39600,1620053228,94,-22.2763,166.4572,75.99,10.4
ketchikan,90,-28800,1620053394,87,55.3422,-131.6461,42.8,9.22
saint anthony,90,-18000,1620053400,71,45.0205,-93.218,54,11.5
waingapu,26,28800,1620053400,81,-9.6567,120.2641,76.8,8.84
boda,99,3600,1620053400,47,4.3189,17.4695,86.61,1.97
norman wells,20,-21600,1620053401,74,65.282,-126.8329,32,4.61
muravlenko,56,18000,1620053402,65,63.7898,74.523,33.87,7.05
paamiut,100,-7200,1620053403,57,61.994,-49.6678,42.15,12.01
havre-saint-pierre,40,-14400,1620053403,49,50.2334,-63.5986,46.4,21.85
mwanza,40,10800,1620053404,61,-2.5167,32.9,80.6,6.91
saint george,0,-21600,1620053145,46,37.1041,-113.5841,62.01,7.83
salumbar,95,19800,1620053405,17,24.1333,74.05,94.03,4.52
lasa,20,7200,1620053405,17,46.6166,10.7002,69.8,4.61
liverpool,75,3600,1620053230,87,53.4106,-2.9779,50,26.46
kisangani,55,7200,1620053406,56,0.5167,25.2,86.85,3
ermelo,8,7200,1620053407,36,-26.5333,29.9833,60.82,7.49
matadi,98,3600,1620053407,85,-5.8167,13.45,80.28,4.52
kloulklubed,75,32400,1620053407,89,7.0419,134.2556,80.6,10.36
oktyabrskiy,92,18000,1620053408,62,54.4815,53.471,61.72,6.82
bolgatanga,97,0,1620053408,22,10.7856,-0.8514,104.94,2.06
gazanjyk,100,18000,1620053409,18,39.2446,55.5154,77.38,6.17
tigil,1,43200,1620053409,76,57.8,158.6667,28.35,6.67
bonfim,89,-14400,1620053410,66,3.0833,-59.95,83.53,6.31
chagda,,,,,,,,
jiwani,91,18000,1620053410,79,25.05,61.7417,82.9,7.56
vostok,61,36000,1620053411,76,46.4856,135.8833,32.54,1.63
kuliyapitiya,72,19800,1620053411,89,7.4688,80.0401,77.85,1.1
bonanza,61,-21600,1620053412,52,14.0289,-84.591,84.24,4.54
mapiripan,100,-18000,1620053412,98,2.8892,-72.1256,72.32,4.16
turbat,100,18000,1620053413,47,26.0023,63.044,86.41,13.31
darhan,100,28800,1620053413,48,49.4867,105.9228,39.6,4.05
