,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
68,el alto,,,,,,,,
69,alihe,,,,,,,,
70,neuquen,,,,,,,,
71,hamilton,,,,,,,,
72,hasaki,,,,,,,,
73,tempio pausania,,,,,,,,
74,leh,,,,,,,,
75,cidreira,,,,,,,,
76,george,,,,,,,,
77,katsuura,,,,,,,,
78,laguna,,,,,,,,
79,quatre cocos,,,,,,,,
80,ixtapa,,,,,,,,
81,koumac,,,,,,,,
82,rocha,,,,,,,,
83,port blair,,,,,,,,
84,barrow,,,,,,,,
85,aflu,,,,,,,,
86,ilulissat,,,,,,,,
87,butaritari,,,,,,,,
88,auki,,,,,,,,
89,wakefield,,,,,,,,
90,bethel,,,,,,,,
91,pisco,,,,,,,,
92,buala,,,,,,,,
93,labuhan,,,,,,,,
94,mar del plata,,,,,,,,
95,barentsburg,,,,,,,,
96,bac lieu,,,,,,,,
97,monrovia,,,,,,,,
98,cabedelo,,,,,,,,
99,itoman,,,,,,,,
100,narsaq,,,,,,,,
101,hobart,,,,,,,,
102,port alfred,,,,,,,,
103,touros,,,,,,,,
104,kahului,,,,,,,,
105,manono,,,,,,,,
106,arraial do cabo,,,,,,,,
107,uglegorsk,,,,,,,,
108,acari,,,,,,,,
109,yulara,,,,,,,,
110,kapaa,,,,,,,,
111,atuona,,,,,,,,
112,nome,,,,,,,,
113,luderitz,,,,,,,,
114,bogovarovo,,,,,,,,
115,danilovka,,,,,,,,
116,tiksi,,,,,,,,
117,nizhneyansk,,,,,,,,
118,umzimvubu,,,,,,,,
119,mujiayingzi,,,,,,,,
120,vangaindrano,,,,,,,,
121,montilla,,,,,,,,
122,falealupo,,,,,,,,
123,richards bay,,,,,,,,
124,yanan,,,,,,,,
125,hazorasp,,,,,,,,
126,brae,,,,,,,,
127,ribeira grande,,,,,,,,
128,ferme-neuve,,,,,,,,
129,bathsheba,,,,,,,,
130,kyzyl-suu,,,,,,,,
131,pastos bons,,,,,,,,
132,mandalgovi,,,,,,,,
133,kungalv,,,,,,,,
134,hithadhoo,,,,,,,,
135,sitka,,,,,,,,
136,miri,,,,,,,,
137,acapulco,,,,,,,,
138,provideniya,,,,,,,,
139,aklavik,,,,,,,,
140,batagay-alyta,,,,,,,,
141,ewa beach,,,,,,,,
142,hoa binh,,,,,,,,
143,zhigansk,,,,,,,,
144,virginia beach,,,,,,,,
145,belmonte,,,,,,,,
146,brookhaven,,,,,,,,
147,bambous virieux,,,,,,,,
148,verkhnyaya inta,,,,,,,,
149,at-bashi,,,,,,,,
150,saleaula,,,,,,,,
151,chuy,,,,,,,,
152,teluknaga,,,,,,,,
153,pilar,,,,,,,,
154,gaoyou,,,,,,,,
155,acarau,,,,,,,,
156,mrirt,,,,,,,,
157,bay roberts,,,,,,,,
158,pangnirtung,,,,,,,,
159,prince rupert,,,,,,,,
160,abnub,,,,,,,,
161,eureka,,,,,,,,
162,saucillo,,,,,,,,
163,segou,,,,,,,,
164,bloomfield,,,,,,,,
165,bassila,,,,,,,,
166,kisangani,,,,,,,,
167,lisburn,,,,,,,,
168,pacific grove,,,,,,,,
169,praia da vitoria,,,,,,,,
170,port pirie,,,,,,,,
171,nikolskoye,,,,,,,,
172,broken hill,,,,,,,,
173,sinnamary,,,,,,,,
174,tura,,,,,,,,
175,ostrovnoy,,,,,,,,
176,ouadda,,,,,,,,
177,maragogi,,,,,,,,
178,axim,,,,,,,,
179,carnarvon,,,,,,,,
180,qaqortoq,,,,,,,,
181,vila velha,,,,,,,,
182,esperance,,,,,,,,
183,biltine,,,,,,,,
184,castro,,,,,,,,
185,durango,,,,,,,,
186,mount isa,,,,,,,,
187,kavieng,,,,,,,,
188,souillac,,,,,,,,
189,bengkulu,,,,,,,,
190,tumannyy,,,,,,,,
191,abu kamal,,,,,,,,
192,wadi maliz,,,,,,,,
193,flinders,,,,,,,,
194,vanimo,,,,,,,,
195,kruisfontein,,,,,,,,
196,bubaque,,,,,,,,
197,les cayes,,,,,,,,
198,paamiut,,,,,,,,
199,micheweni,,,,,,,,
200,neiafu,,,,,,,,
201,krasnoselkup,,,,,,,,
202,ryotsu,,,,,,,,
203,shevchenkove,,,,,,,,
204,zalantun,,,,,,,,
205,kuche,,,,,,,,
206,rudbar,,,,,,,,
207,fortuna,,,,,,,,
208,psebay,,,,,,,,
209,rungata,,,,,,,,
210,saint austell,,,,,,,,
211,nizhniy baskunchak,,,,,,,,
212,port elizabeth,,,,,,,,
213,vicuna,,,,,,,,
214,dali,,,,,,,,
215,mamakan,,,,,,,,
216,kavaratti,,,,,,,,
217,tautira,,,,,,,,
218,fukue,,,,,,,,
219,tarudant,,,,,,,,
220,tsihombe,,,,,,,,
221,lompoc,,,,,,,,
222,deputatskiy,,,,,,,,
223,aloleng,,,,,,,,
224,san,,,,,,,,
225,pemangkat,,,,,,,,
226,harbour breton,,,,,,,,
227,severnyy,,,,,,,,
228,saint-philippe,,,,,,,,
229,samusu,,,,,,,,
230,dudinka,,,,,,,,
231,kamaishi,,,,,,,,
232,songling,,,,,,,,
233,road town,,,,,,,,
234,lapua,,,,,,,,
235,la ronge,,,,,,,,
236,chokurdakh,,,,,,,,
237,klyuchi,,,,,,,,
238,aksu,,,,,,,,
239,auka,,,,,,,,
240,paradwip,,,,,,,,
241,doha,,,,,,,,
242,ashtian,,,,,,,,
243,athabasca,,,,,,,,
244,sao joao da barra,,,,,,,,
245,manzil tamim,,,,,,,,
246,hammerfest,,,,,,,,
247,cap malheureux,,,,,,,,
248,kaeo,,,,,,,,
249,nicolas bravo,,,,,,,,
250,palabuhanratu,,,,,,,,
251,kodiak,,,,,,,,
252,sinkat,,,,,,,,
253,pevek,,,,,,,,
254,mareeba,,,,,,,,
255,cape town,,,,,,,,
256,vao,,,,,,,,
257,camargo,,,,,,,,
258,tawkar,,,,,,,,
259,nagato,,,,,,,,
260,necochea,,,,,,,,
261,locri,,,,,,,,
262,urdoma,,,,,,,,
263,kupang,,,,,,,,
264,kozmodemyansk,,,,,,,,
265,mahenge,,,,,,,,
266,alyangula,,,,,,,,
267,isangel,,,,,,,,
268,capaci,,,,,,,,
269,shakhtinsk,,,,,,,,
270,khatanga,,,,,,,,
271,lebu,,,,,,,,
272,auburn,,,,,,,,
273,jacmel,,,,,,,,
274,lavrentiya,,,,,,,,
275,saint anthony,,,,,,,,
276,kayes,,,,,,,,
277,vila franca do campo,,,,,,,,
278,evensk,,,,,,,,
279,morondava,,,,,,,,
280,husavik,,,,,,,,
281,walvis bay,,,,,,,,
282,erdenet,,,,,,,,
283,marevo,,,,,,,,
284,boma,,,,,,,,
285,torbay,,,,,,,,
286,weligama,,,,,,,,
287,teofilo otoni,,,,,,,,
288,raduzhnyy,,,,,,,,
289,samalaeulu,,,,,,,,
290,nemuro,,,,,,,,
291,linxia,,,,,,,,
292,nouadhibou,,,,,,,,
293,teeli,,,,,,,,
294,guiratinga,,,,,,,,
295,atar,,,,,,,,
296,mitsamiouli,,,,,,,,
297,lagoa,,,,,,,,
298,hirara,,,,,,,,
299,aykhal,,,,,,,,
300,barth,,,,,,,,
301,hofn,,,,,,,,
302,sioux lookout,,,,,,,,
303,lardos,,,,,,,,
304,menfi,,,,,,,,
305,presidencia roque saenz pena,,,,,,,,
306,georgetown,,,,,,,,
307,vetluzhskiy,,,,,,,,
308,santa maria del oro,,,,,,,,
309,atambua,,,,,,,,
310,portsmouth,,,,,,,,
311,tecoanapa,,,,,,,,
312,puerto ayora,,,,,,,,
313,milingimbi,,,,,,,,
314,roald,,,,,,,,
315,blagesti,,,,,,,,
316,westport,,,,,,,,
317,codrington,,,,,,,,
318,namibe,,,,,,,,
319,nizhniy chir,,,,,,,,
320,labytnangi,,,,,,,,
321,severo-kurilsk,,,,,,,,
322,celendin,,,,,,,,
323,srednekolymsk,,,,,,,,
324,santa cruz del sur,,,,,,,,
325,high rock,,,,,,,,
326,belyy yar,,,,,,,,
327,leningradskiy,,,,,,,,
328,terrace,,,,,,,,
329,anito,,,,,,,,
330,hobyo,,,,,,,,
331,praya,,,,,,,,
332,sangar,,,,,,,,
333,viedma,,,,,,,,
334,krasnaya gorka,,,,,,,,
335,haines junction,,,,,,,,
336,manado,,,,,,,,
337,cayenne,,,,,,,,
338,iqaluit,,,,,,,,
339,hami,,,,,,,,
340,kindu,,,,,,,,
341,chunoyar,,,,,,,,
342,nishihara,,,,,,,,
343,okhotsk,,,,,,,,
344,kamina,,,,,,,,
345,masterton,,,,,,,,
346,cabo san lucas,,,,,,,,
347,geraldton,,,,,,,,
348,seoul,,,,,,,,
349,toliary,,,,,,,,
350,clyde river,,,,,,,,
351,berlevag,,,,,,,,
352,beringovskiy,,,,,,,,
353,ariquemes,,,,,,,,
354,pajapan,,,,,,,,
355,corpus christi,,,,,,,,
356,mochitlan,,,,,,,,
357,adamas,,,,,,,,
358,mackay,,,,,,,,
359,east london,,,,,,,,
360,cabinda,,,,,,,,
361,north bend,,,,,,,,
362,kutum,,,,,,,,
363,bandiagara,,,,,,,,
364,santa cruz de tenerife,,,,,,,,
365,vaitupu,,,,,,,,
366,puerto carreno,,,,,,,,
367,geilo,,,,,,,,
368,ngukurr,,,,,,,,
369,gubbi,,,,,,,,
370,ishigaki,,,,,,,,
371,zemio,,,,,,,,
372,yaan,,,,,,,,
373,yuma,,,,,,,,
374,gornyy,,,,,,,,
375,alofi,,,,,,,,
376,shchelyayur,,,,,,,,
377,port lincoln,,,,,,,,
378,padang,,,,,,,,
379,klaksvik,,,,,,,,
380,puerto escondido,,,,,,,,
381,portland,,,,,,,,
382,mys shmidta,,,,,,,,
383,bowen,,,,,,,,
384,tulun,,,,,,,,
385,poum,,,,,,,,
386,koran,,,,,,,,
387,saint-maximin-la-sainte-baume,,,,,,,,
388,petropavlovsk-kamchatskiy,,,,,,,,
389,raga,,,,,,,,
390,aranos,,,,,,,,
391,coquimbo,,,,,,,,
392,iwanai,,,,,,,,
393,longyearbyen,,,,,,,,
394,lure,,,,,,,,
395,whitehorse,,,,,,,,
396,linkoping,,,,,,,,
397,baruun-urt,,,,,,,,
398,dolbeau,,,,,,,,
399,olafsvik,,,,,,,,
400,tabiauea,,,,,,,,
401,gorom-gorom,,,,,,,,
402,miracema do tocantins,,,,,,,,
403,chippewa falls,,,,,,,,
404,dingle,,,,,,,,
405,mangrol,,,,,,,,
406,mecca,,,,,,,,
407,ongandjera,,,,,,,,
408,grand gaube,,,,,,,,
409,victoria,,,,,,,,
410,skalistyy,,,,,,,,
411,warmbad,,,,,,,,
412,krasnoarmeysk,,,,,,,,
413,santa maria,,,,,,,,
414,sopur,,,,,,,,
415,gubskaya,,,,,,,,
416,candawaga,,,,,,,,
417,shimoda,,,,,,,,
418,turtas,,,,,,,,
419,avenal,,,,,,,,
420,ozuluama,,,,,,,,
421,vila do maio,,,,,,,,
422,bat khela,,,,,,,,
423,faanui,,,,,,,,
424,jieshi,,,,,,,,
425,alpena,,,,,,,,
426,los llanos de aridane,,,,,,,,
427,dordrecht,,,,,,,,
428,noyabrsk,,,,,,,,
429,huaihua,,,,,,,,
430,saint-louis,,,,,,,,
431,asau,,,,,,,,
432,santa cruz,,,,,,,,
433,magdalena,,,,,,,,
434,khandyga,,,,,,,,
435,rovaniemi,,,,,,,,
436,luau,,,,,,,,
437,maningrida,,,,,,,,
438,pahrump,,,,,,,,
439,tawang,,,,,,,,
440,zhoucheng,,,,,,,,
441,resen,,,,,,,,
442,caravelas,,,,,,,,
443,sisimiut,,,,,,,,
444,quelimane,,,,,,,,
445,penzance,,,,,,,,
446,vogan,,,,,,,,
447,vredendal,,,,,,,,
448,navabad,,,,,,,,
449,parana,,,,,,,,
450,cartagena,,,,,,,,
451,kurumkan,,,,,,,,
452,qandala,,,,,,,,
453,ust-tsilma,,,,,,,,
454,bonavista,,,,,,,,
455,vanavara,,,,,,,,
456,marsa matruh,,,,,,,,
457,sept-iles,,,,,,,,
458,nanortalik,,,,,,,,
459,tiarei,,,,,,,,
460,yarmouth,,,,,,,,
461,treinta y tres,,,,,,,,
462,kuusamo,,,,,,,,
463,ugoofaaru,,,,,,,,
464,brahmapuri,,,,,,,,
465,faya,,,,,,,,
466,fairbanks,,,,,,,,
467,taiyuan,,,,,,,,
468,chacabuco,,,,,,,,
469,lolua,,,,,,,,
470,viligili,,,,,,,,
471,attawapiskat,,,,,,,,
472,aleppo,,,,,,,,
473,birao,,,,,,,,
474,wadi musa,,,,,,,,
475,vila,,,,,,,,
476,jacareacanga,,,,,,,,
477,constitucion,,,,,,,,
478,jiayuguan,,,,,,,,
479,georgiyevka,,,,,,,,
480,agva,,,,,,,,
481,taksimo,,,,,,,,
482,jiroft,,,,,,,,
483,gizo,,,,,,,,
484,bhuj,,,,,,,,
485,peniche,,,,,,,,
486,waynesville,,,,,,,,
487,tyukalinsk,,,,,,,,
488,egvekinot,,,,,,,,
489,haibowan,,,,,,,,
490,viramgam,,,,,,,,
491,cockburn town,,,,,,,,
492,grand river south east,,,,,,,,
493,saint-georges,,,,,,,,
494,ikole,,,,,,,,
495,luchegorsk,,,,,,,,
496,balykshi,,,,,,,,
497,ardakan,,,,,,,,
498,karakendzha,,,,,,,,
499,torit,,,,,,,,
500,borba,,,,,,,,
501,margate,,,,,,,,
502,boali,,,,,,,,
503,vancouver,,,,,,,,
504,citta di castello,,,,,,,,
505,cody,,,,,,,,
506,lorengau,,,,,,,,
507,havre,,,,,,,,
508,tongliao,,,,,,,,
509,gondar,,,,,,,,
510,baghdad,,,,,,,,
511,burica,,,,,,,,
512,monopoli,,,,,,,,
513,solnechnyy,,,,,,,,
514,shingu,,,,,,,,
515,buta,,,,,,,,
516,rio gallegos,,,,,,,,
517,muhos,,,,,,,,
518,sirjan,,,,,,,,
519,den helder,,,,,,,,
520,mandiana,,,,,,,,
521,bagotville,,,,,,,,
522,smidovich,,,,,,,,
523,nguiu,,,,,,,,
524,kloulklubed,,,,,,,,
525,tomaszow lubelski,,,,,,,,
526,vilhena,,,,,,,,
527,emerald,,,,,,,,
528,northam,,,,,,,,
529,korla,,,,,,,,
530,kitami,,,,,,,,
531,barroui,,,,,,,,
532,guerrero negro,,,,,,,,
533,saint-pierre,,,,,,,,
534,ahtopol,,,,,,,,
535,zeya,,,,,,,,
536,ituango,,,,,,,,
537,carballo,,,,,,,,
538,honjo,,,,,,,,
539,forestville,,,,,,,,
540,ahipara,,,,,,,,
541,lulea,,,,,,,,
542,chany,,,,,,,,
543,phangnga,,,,,,,,
544,zaysan,,,,,,,,
545,kirakira,,,,,,,,
546,kaitangata,,,,,,,,
547,dengzhou,,,,,,,,
548,ilabaya,,,,,,,,
549,sergiyevsk,,,,,,,,
550,vestmannaeyjar,,,,,,,,
551,rotherham,,,,,,,,
552,sehithwa,,,,,,,,
553,sitio novo do tocantins,,,,,,,,
554,mugur-aksy,,,,,,,,
555,madang,,,,,,,,
556,malwan,,,,,,,,
557,kamenskoye,,,,,,,,
558,kushima,,,,,,,,
559,price,,,,,,,,
560,melilla,,,,,,,,
561,iquitos,,,,,,,,
562,marshall,,,,,,,,
563,manggar,,,,,,,,
564,taburi,,,,,,,,
565,halalo,,,,,,,,
566,seymchan,,,,,,,,
567,oistins,,,,,,,,
568,qabis,,,,,,,,
569,sint-truiden,,,,,,,,
570,tiznit,,,,,,,,
571,borodino,,,,,,,,
572,valdivia,,,,,,,,
573,abu samrah,,,,,,,,
574,heihe,,,,,,,,
575,itacarambi,,,,,,,,
576,vrangel,,,,,,,,
577,skibbereen,,,,,,,,
578,sorvag,,,,,,,,
579,bandarbeyla,,,,,,,,
580,christchurch,,,,,,,,
581,popondetta,,,,,,,,
582,aswan,,,,,,,,
583,victor rosales,,,,,,,,
584,makakilo city,,,,,,,,
585,hamburg,,,,,,,,
586,thornhill,,,,,,,,
587,smithers,,,,,,,,
588,abbeville,,,,,,,,
589,maghama,,,,,,,,
590,barkhan,,,,,,,,
591,benjamin aceval,,,,,,,,
592,tabuk,,,,,,,,
593,muroto,,,,,,,,
594,salalah,,,,,,,,
595,rafraf,,,,,,,,
596,arlit,,,,,,,,
597,platteville,,,,,,,,
598,lyubeshiv,,,,,,,,
599,juneau,,,,,,,,
600,alice springs,,,,,,,,
601,ariogala,,,,,,,,
602,nzega,,,,,,,,
603,inirida,,,,,,,,
604,kota kinabalu,,,,,,,,
605,anadyr,,,,,,,,
606,camopi,,,,,,,,
607,oudtshoorn,,,,,,,,
608,xacmaz,,,,,,,,
609,krutinka,,,,,,,,
610,ust-barguzin,,,,,,,,
611,laurel,,,,,,,,
612,komsomolskiy,,,,,,,,
613,maketu,,,,,,,,
614,wuwei,,,,,,,,
615,suntar,,,,,,,,
616,srivardhan,,,,,,,,
617,dera din panah,,,,,,,,
