,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
35,nikolskoye,,,,,,,,
36,punta arenas,75,,1620041965,64,-53.15,-70.9167,33.8,8.05
37,jarjis,,,,,,,,
38,provideniya,100,,1620042075,78,64.3833,-173.3,27.1,15.86
39,kutum,4,,1620042076,8,14.2,24.6667,93.87,11.32
40,malwan,,,,,,,,
41,kurumkan,69,,1620042076,65,54.3,110.3,41.31,9.55
42,sorland,20,,1620042077,52,67.667,12.6934,39.2,9.22
43,starkville,90,,1620042077,100,33.4504,-88.8184,68,9.8
44,isla mujeres,40,,1620042077,78,21.2311,-86.731,81,13.8
45,kameshkovo,100,,1620042077,90,56.3481,41.0047,57.13,12.75
46,kapit,94,,1620042078,84,2.0167,112.9333,80.02,0.87
47,jamestown,75,,1620042078,72,42.097,-79.2353,60.01,5.75
48,bluff,43,,1620042078,79,-46.6,168.3333,48,8.01
49,tahta,0,,1620042079,9,26.7693,31.5021,102.2,8.05
50,cuenca,100,,1620042005,100,-2.8833,-78.9833,53.6,3.44
51,waingapu,11,,1620041823,79,-9.6567,120.2641,77.04,9.42
52,bredasdorp,31,,1620042079,14,-34.5322,20.0403,89.6,6.91
53,cape town,0,,1620041870,15,-33.9258,18.4232,91.4,12.66
54,kapaa,40,,1620042080,78,22.0752,-159.319,73.4,13.8
55,saskylakh,100,,1620042080,94,71.9167,114.0833,29.53,9.06
56,noumea,75,,1620042080,94,-22.2763,166.4572,77,2.3
57,huangpi,90,,1620042081,100,30.8845,114.3779,60.8,8.95
58,myski,81,,1620042081,66,53.709,87.8014,53.71,3.38
59,port macquarie,4,,1620042081,99,-31.4333,152.9167,61,5.7
60,goure,47,,1620042082,3,13.9835,10.2704,106,5.01
61,abu samrah,,,,,,,,
62,khatanga,98,,1620042082,84,71.9667,102.5,30.34,11.68
63,butaritari,96,,1620042142,76,3.0707,172.7902,83.25,15.52
64,anar darreh,,,,,,,,
65,hasaki,20,,1620042143,58,35.7333,140.8333,59,4.61
66,khasan,,,,,,,,
67,bastrop,90,,1620042143,94,32.7562,-91.8724,72,9.98
68,khandyga,38,,1620042143,94,62.6667,135.6,32.76,3.62
69,carnarvon,40,,1620042144,88,-24.8667,113.6333,62.6,4.61
70,barra do garcas,0,,1620041895,63,-15.89,-52.2567,75.96,3.65
71,sulangan,48,,1620042144,76,11.1373,123.7228,84.33,13.2
72,alofi,98,,1620042144,83,-19.0595,-169.9187,75.2,10.36
73,new norfolk,66,,1620042145,73,-42.7826,147.0587,42.01,2.06
74,arraial do cabo,0,,1620042145,83,-22.9661,-42.0278,73.4,2.28
75,batticaloa,22,,1620042145,68,7.7102,81.6924,85.68,7.81
76,north bend,1,,1620042146,100,43.4065,-124.2243,45,5.75
77,upernavik,56,,1620042146,69,72.7868,-56.1549,27.12,7.87
78,hermanus,2,,1620042146,20,-34.4187,19.2345,91,7.02
79,kilembe,87,,1620042147,62,0.2,30,73.89,4.05
80,chokurdakh,100,,1620042147,94,70.6333,147.9167,27.81,7.58
81,erdenet,83,,1620042147,64,49.0333,104.0833,35.64,6.98
82,barrow,90,,1620042148,79,71.2906,-156.7887,15.8,3.44
83,quirinopolis,0,,1620042148,47,-18.4483,-50.4517,74.28,7.74
84,bagdarin,100,,1620042148,62,54.4333,113.6,38.12,8.57
85,lukulu,93,,1620042149,47,-14.3707,23.242,77.92,9.33
86,cidreira,2,,1620042149,61,-30.1811,-50.2056,71.02,2.8
87,port lincoln,31,,1620042149,65,-34.7333,135.8667,59.67,17.63
88,chongqing,20,,1620042149,69,29.5628,106.5528,77,6.71
89,nouadhibou,0,,1620042083,43,20.931,-17.0347,75.2,27.63
90,ladario,0,,1620042150,78,-19.0047,-57.6017,78.8,5.75
91,broome,1,,1620042150,87,42.2506,-75.833,50,8.05
92,vitim,91,,1620042150,99,59.4511,112.5578,36.37,2.95
93,pembroke,20,,1620042151,52,45.8168,-77.1162,43,2.3
94,san patricio,90,,1620042151,88,28.017,-97.5169,77,10.36
95,nanortalik,100,,1620042151,54,60.1432,-45.2371,41.63,27.29
96,tagusao,71,,1620042152,80,9.1924,117.8141,81.93,9.22
97,haibowan,,,,,,,,
98,rajauri,51,,1620042152,49,33.3833,74.3,76.71,13.27
99,longyearbyen,0,,1620042152,58,78.2186,15.6401,24.8,2.3
100,laguna,1,,1620042153,36,38.421,-121.4238,64.4,17.27
101,filimonovo,100,,1620042153,59,56.2011,95.4611,48.58,20.74
102,antofagasta,20,,1620042153,94,-23.65,-70.4,57.2,9.22
103,kazalinsk,,,,,,,,
104,kununurra,0,,1620042154,65,-15.7667,128.7333,77,4.61
105,husavik,90,,1620042154,60,66.0449,-17.3389,33.8,4.61
106,kristiinankaupunki,100,,1620042154,48,62.2743,21.376,44.1,11.21
107,yarensk,69,,1620042155,26,62.1675,49.0916,48.16,1.41
108,taksimo,100,,1620042155,72,56.3444,114.8794,40.68,2.84
109,vaitupu,,,,,,,,
110,bengkulu,100,,1620042121,83,-3.8004,102.2655,80.1,3.78
111,avarua,75,,1620042155,83,-21.2078,-159.775,73.4,11.5
112,castro,0,,1620042156,71,-24.7911,-50.0119,64.42,1.86
113,saint-pierre,90,,1620042156,74,-21.3393,55.4781,81,4.61
114,port alfred,0,,1620042156,44,-33.5906,26.891,78.4,15.23
115,alotau,,,,,,,,
116,thompson,90,,1620042157,93,55.7435,-97.8558,24.8,6.91
117,fez,75,,1620042157,59,34.0372,-4.9998,62.6,2.3
118,biancavilla,100,,1620042157,84,37.6451,14.8671,70,3
119,auki,34,,1620042218,87,-8.7676,160.7034,77.47,3.33
120,kusti,93,,1620042218,27,13.1629,32.6635,97.05,7.99
121,altamira,75,,1620042218,100,-3.2033,-52.2064,75.2,1.14
122,grand river south east,,,,,,,,
123,satitoa,,,,,,,,
124,wazzan,,,,,,,,
125,atuona,84,,1620042219,80,-9.8,-139.0333,79.14,12.91
126,port elizabeth,0,,1620042219,50,-33.918,25.5701,75.2,9.22
127,cherskiy,18,,1620042220,92,68.75,161.3,14.4,7.2
128,ahome,9,,1620042220,97,25.9167,-109.1833,66,5.01
129,georgetown,20,,1620042025,70,5.4112,100.3354,87.8,4.61
130,asyut,0,,1620042220,16,27.181,31.1837,95,12.66
131,tuktoyaktuk,100,,1620042221,87,69.4541,-133.0374,22.8,4.68
132,codrington,100,,1620042221,72,-38.2667,141.9667,52.23,16.17
133,lamar,90,,1620042221,100,33.6668,-95.5836,69.01,11.5
134,chagda,,,,,,,,
135,benguela,90,,1620042222,61,-12.5763,13.4055,84.36,4.23
136,salihorsk,100,,1620042222,76,52.7876,27.5415,42.28,22.88
137,guerrero negro,97,,1620042222,71,27.9769,-114.0611,60.06,15.95
138,kangaatsiaq,0,,1620042223,49,68.3065,-53.4641,38.93,16.13
139,east london,0,,1620042223,53,-33.0153,27.9116,77,12.66
140,tombouctou,65,,1620042223,15,20,-3,100.99,23.2
141,taoudenni,88,,1620042224,26,22.6783,-3.9836,94.59,7.99
142,bimbo,75,,1620042224,46,4.2567,18.4158,93.2,5.26
143,jinka,97,,1620042224,71,5.65,36.65,72.9,1.28
144,fortuna,90,,1620042225,100,40.5982,-124.1573,51.01,5.75
145,khudumelapye,32,,1620042225,27,-23.8833,24.75,73.22,10.67
146,narsaq,75,,1620042225,26,60.9167,-46.05,42.8,41.43
147,phan rang,,,,,,,,
148,lebu,96,,1620042226,87,-37.6167,-73.65,50.5,6.62
149,saint-philippe,90,,1620042226,74,-21.3585,55.7679,81,4.61
150,mar del plata,75,,1620042226,100,-38.0023,-57.5575,60.01,4.97
151,bambous virieux,75,,1620042226,74,-20.3428,57.7575,84.2,11.5
152,surgana,40,,1620042227,20,20.5667,73.6167,95.5,11.34
153,siilinjarvi,0,,1620042227,23,63.0833,27.6667,46.4,5.75
154,kalemie,52,,1620042227,69,-5.9475,29.1947,78.55,10.89
155,geraldton,85,,1620042228,73,-28.7667,114.6,68,8.05
156,atar,0,,1620042228,13,20.5169,-13.0499,91.83,2.57
157,artyk,,,,,,,,
158,petropavlovsk-kamchatskiy,90,,1620042228,100,53.0452,158.6483,32,2.24
159,nishihara,20,,1620042229,64,26.1842,127.7558,71.6,8.05
160,udachnyy,100,,1620042229,98,66.4167,112.4,33.1,3.42
161,chuy,26,,1620042229,67,-33.6971,-53.4616,66.72,8.43
162,high level,1,,1620042230,80,58.5169,-117.136,26.6,3.44
163,bethel,1,,1620042071,82,41.3712,-73.414,55,3.65
164,umm kaddadah,12,,1620042230,9,13.6017,26.6876,101.43,8.75
165,kaitangata,,,,,,,,
166,samarai,41,,1620042231,82,-10.6167,150.6667,80.29,9.71
167,nurota,78,,1620042231,19,40.5614,65.6886,91.4,9.22
168,souillac,75,,1620042231,74,-20.5167,57.5167,84.2,11.5
169,college,40,,1620042135,39,64.8569,-147.8028,42.8,11.5
170,sarakhs,90,,1620042232,41,36.5449,61.1577,75.2,11.5
171,kyabram,91,,1620042232,83,-36.3167,145.05,55.99,10.38
172,nizhneyansk,,,,,,,,
173,richards bay,11,,1620042218,61,-28.783,32.0377,72.43,7.34
174,lompoc,90,,1620042232,93,34.6391,-120.4579,48.2,9.22
175,hithadhoo,99,,1620042233,73,-0.6,73.0833,83.34,14.09
176,duncan,1,,1620042233,100,34.5023,-97.9578,64.4,9.22
177,beringovskiy,100,,1620042293,92,63.05,179.3167,19.24,13.82
178,tautira,20,,1620042294,78,-17.7333,-149.15,75.2,5.75
179,puerto ayora,93,,1620042294,81,-0.7393,-90.3518,73.83,9.95
180,namibe,20,,1620042294,55,-15.1961,12.1522,87.8,11.5
181,rio grande,75,,1620042295,88,-32.035,-52.0986,62.6,4.61
182,ormara,76,,1620042295,74,25.2088,64.6357,83.25,17.56
183,vao,20,,1620042295,80,-22.6667,167.4833,73.62,23.2
184,hayato,,,,,,,,
185,sim,86,,1620042296,41,54.993,57.6982,61.03,3.29
186,hokitika,86,,1620042296,83,-42.7167,170.9667,52.34,3.18
187,marawi,52,,1620042296,84,7.9986,124.2928,82.99,5.01
188,novi pazar,94,,1620042166,65,43.1367,20.5122,60.4,5.88
189,aquiraz,75,,1620042129,94,-3.9014,-38.3911,75.99,8.05
190,ewa beach,40,,1620042297,64,21.3156,-158.0072,75.2,9.22
191,escarcega,94,,1620042297,87,18.6089,-90.7454,74.84,5.73
192,meulaboh,99,,1620042297,84,4.1363,96.1285,80.64,4.85
193,ambunti,80,,1620042298,96,-4.2365,142.8448,74.7,2.89
194,lisakovsk,63,,1620042085,52,52.5369,62.4936,61.7,12.01
195,bukoba,63,,1620042026,69,-1.3317,31.8122,75.16,8.5
196,ngukurr,,,,,,,,
197,ascension,90,,1620042298,94,30.2169,-90.9001,77,9.22
198,salinopolis,48,,1620042299,79,-0.6136,-47.3561,79.27,5.53
199,yellowknife,20,,1620042299,53,62.456,-114.3525,17.6,6.91
200,luderitz,0,,1620042299,56,-26.6481,15.1594,72.07,7.27
201,ostrovnoy,14,,1620042299,77,68.0531,39.5131,32.45,13.29
202,santa maria,0,,1620042286,78,-29.6842,-53.8069,69.8,3.44
203,vila franca do campo,20,,1620042300,82,37.7167,-25.4333,62.6,5.75
204,coihaique,70,,1620042300,96,-45.5752,-72.0662,34.68,3.42
205,nevsehir,75,,1620042301,25,38.9167,34.6667,86,11.5
206,cartagena del chaira,100,,1620042301,96,1.3349,-74.8429,70.11,0.45
207,westport,1,,1620042303,88,41.1415,-73.3579,57.99,3.44
208,yatou,100,,1620042303,82,37.15,122.3833,52.3,11.88
209,lagoa,100,,1620042304,81,39.05,-27.9833,62.44,9.06
210,south lake tahoe,1,,1620042304,80,38.9332,-119.9844,39,3.44
211,akyab,0,,1620042304,66,20.15,92.9,84.7,13.2
212,port hardy,90,,1620042305,100,50.6996,-127.4199,46.4,2.3
213,dingle,64,,1620042305,75,10.9995,122.6711,80.74,8.14
214,faanui,11,,1620042305,68,-16.4833,-151.75,80.89,2.91
215,kilkis,100,,1620042306,34,40.9919,22.8708,82.99,10
216,samalaeulu,,,,,,,,
217,portland,98,,1620042306,84,45.5234,-122.6762,46.99,0.81
218,yuci,62,,1620042306,32,37.6803,112.7319,66.2,20.13
219,bonthe,95,,1620042307,62,7.5264,-12.505,87.71,4.81
220,alice springs,91,,1620042307,32,-23.7,133.8833,73.99,5.75
221,savannah bight,1,,1620042307,88,16.45,-85.85,80.01,1.99
222,yuzhno-yeniseyskiy,,,,,,,,
223,sinnamary,100,,1620042308,82,5.3833,-52.95,80.15,9.33
224,savannakhet,87,,1620042295,55,16.566,104.751,88.5,3.94
225,simao,65,,1620042308,58,22.7886,100.9748,70.21,1.81
226,ribeira grande,40,,1620042309,77,38.5167,-28.7,64.4,6.91
227,poum,5,,1620042309,77,-20.2333,164.0167,77.25,17.27
228,sangar,100,,1620042309,99,63.9242,127.4739,34.23,1.77
229,aklavik,100,,1620042309,86,68.2191,-135.0107,21.2,9.22
230,longlac,,,,,,,,
231,katsuyama,20,,1620042310,77,36.0617,136.501,57.2,5.75
232,samusu,,,,,,,,
233,kondinskoye,79,,1620042370,39,59.6481,67.41,48.47,12.08
234,cabo san lucas,1,,1620042371,26,22.8909,-109.9124,68,2.3
235,beian,,,,,,,,
236,port blair,75,,1620042371,79,11.6667,92.75,86,4.61
237,pacific grove,8,,1620042371,90,36.6177,-121.9166,51.01,3
238,mohiuddinagar,,,,,,,,
239,vardo,0,,1620042372,64,70.3705,31.1107,35.6,9.22
240,kytmanovo,67,,1620042372,43,53.4593,85.4479,57.88,7.9
241,saint anthony,1,,1620042372,71,45.0205,-93.218,51.8,8.05
242,huilong,97,,1620042373,81,31.8111,121.655,70,5.99
243,ulaanbaatar,40,,1620042186,38,47.9077,106.8832,37.4,17.9
244,ekhabi,,,,,,,,
245,kodiak,90,,1620042188,87,57.79,-152.4072,39.2,17.27
246,suao,,,,,,,,
247,esperance,75,,1620042373,72,-33.8667,121.9,60.8,11.5
248,grindavik,0,,1620042374,48,63.8424,-22.4338,41,11.5
249,makakilo city,20,,1620042374,88,21.3469,-158.0858,75.2,13.27
250,kavaratti,99,,1620042374,67,10.5669,72.642,85.66,1.45
251,baruun-urt,100,,1620042375,33,46.6806,113.2792,45.61,20.71
252,ayan,53,,1620042375,73,56.45,138.1667,32,2.98
253,steenbergen,90,,1620042375,44,51.5842,4.3194,57,13.8
254,tutoia,100,,1620042376,85,-2.7619,-42.2744,79.65,4.12
255,jian,78,,1620042376,74,27.1172,114.9793,73.87,15.46
256,manggar,94,,1620042376,75,-2.8833,108.2667,82.58,3.2
257,hihifo,,,,,,,,
258,prainha,67,,1620042377,77,-1.8,-53.48,79.25,2.51
259,buala,79,,1620042377,79,-8.145,159.5921,80.19,1.19
260,hualmay,62,,1620042377,89,-11.0964,-77.6139,65.34,3.69
261,ponta do sol,9,,1620042378,58,32.6667,-17.1,64.99,4
262,beihai,86,,1620042378,78,21.4833,109.1,80.51,3.56
263,aripuana,36,,1620042378,94,-9.1667,-60.6333,74.07,1.52
264,ardistan,,,,,,,,
265,ilulissat,1,,1620042379,24,69.2167,-51.1,44.6,33.38
266,nioro,65,,1620042379,20,13.35,-15.75,92.17,7.52
267,goundam,2,,1620042379,9,16.4145,-3.6708,106.45,15.05
268,buarcos,20,,1620042379,45,40.166,-8.8768,73.99,5.75
269,tual,74,,1620042380,77,-5.6667,132.75,82.62,17.36
270,kieta,91,,1620042380,85,-6.2167,155.6333,79.7,4.07
271,sur,100,,1620042380,40,22.5667,59.5289,92.08,4.97
272,abu dhabi,59,,1620042255,55,24.4667,54.3667,91.4,19.57
273,zhigansk,100,,1620042381,99,66.7697,123.3711,32.67,6.35
274,champerico,21,,1620042381,100,14.3,-91.9167,60.01,3.36
275,ketchikan,90,,1620042381,93,55.3422,-131.6461,42.8,5.75
276,pueblo,90,,1620042382,87,38.2545,-104.6091,48.2,17.27
277,krasnoselkup,69,,1620042382,87,65.7,82.4667,32.81,14.58
278,sao joao da barra,0,,1620042382,88,-21.6403,-41.0511,71.6,2.3
279,naze,11,,1620042205,66,28.3667,129.4833,62.82,9.71
280,acopiara,99,,1620042383,66,-6.0953,-39.4525,75.9,8.52
281,caravelas,100,,1620042383,73,-17.7125,-39.2481,77.58,4.76
282,yar-sale,55,,1620042383,82,66.8333,70.8333,32.65,16.91
283,zhitikara,,,,,,,,
284,constitucion,100,,1620042356,93,-35.3333,-72.4167,54.19,5.39
285,doha,20,,1620042316,51,25.2867,51.5333,88,16.11
286,morrope,68,,1620042384,84,-6.5417,-80.0111,70,8.08
287,namatanai,38,,1620042384,80,-3.6667,152.4333,80.08,1.68
288,torbay,90,,1620042385,93,47.6666,-52.7314,45,17.27
289,bullhead city,1,,1620042385,23,35.1478,-114.5683,73.99,10.36
290,mahebourg,75,,1620042365,74,-20.4081,57.7,84.2,11.5
291,cam ranh,20,,1620042440,78,11.9214,109.1591,82.4,3.44
292,belmonte,75,,1620042445,94,-15.8631,-38.8828,69.8,6.91
293,lazaro cardenas,0,,1620042446,75,17.9583,-102.2,72.12,3.8
294,mgachi,100,,1620042446,96,51.05,142.2667,31.62,14.43
295,grand-santi,100,,1620042446,95,4.25,-54.3833,75.25,3.02
296,axim,100,,1620042447,67,4.8699,-2.2405,86.22,9.78
297,paamiut,100,,1620042447,56,61.994,-49.6678,40.41,12.86
298,bubaque,19,,1620042447,55,11.2833,-15.8333,78.82,7.38
299,shelburne,100,,1620042391,98,44.0787,-80.2041,51.01,14.12
300,dombarovskiy,11,,1620042448,33,50.7587,59.5386,74.91,6.24
301,keti bandar,26,,1620042448,58,24.1447,67.4497,86.68,16.93
302,jerusalen,,,,,,,,
303,mola di bari,100,,1620042448,51,41.0609,17.0873,66,11.45
304,mocuba,,,,,,,,
305,la ferte-bernard,0,,1620042449,34,48.1863,0.6536,62.6,9.22
306,asayita,,,,,,,,
307,tulun,100,,1620042449,86,54.5611,100.5792,41.68,7.31
308,hay river,94,,1620042450,58,60.8156,-115.7999,23,2.3
309,lavrentiya,100,,1620042450,85,65.5833,-171,18.93,10.87
310,olafsvik,5,,1620042450,54,64.8945,-23.7142,37.62,7.54
311,talnakh,96,,1620042451,84,69.4865,88.3972,31.8,6.29
312,umzimvubu,,,,,,,,
313,coahuayana,2,,1620042451,36,18.7333,-103.6833,65.84,4.12
314,asau,43,,1620042451,28,46.4333,26.4,63,12.35
315,tasiilaq,2,,1620042452,69,65.6145,-37.6368,32,10.36
316,fairbanks,1,,1620042385,38,64.8378,-147.7164,42.8,5.19
317,wulanhaote,,,,,,,,
318,pisco,90,,1620042452,82,-13.7,-76.2167,66.2,3.44
319,victoria point,0,,1620042452,87,-27.5833,153.3,66.99,1.01
320,mazagao,75,,1620042453,100,-0.115,-51.2894,77,4.61
321,barcelos,0,,1620042453,55,41.5388,-8.6151,69.01,9.22
322,saint george,1,,1620042342,41,37.1041,-113.5841,57.2,9.22
323,vredendal,71,,1620042453,15,-31.6683,18.5012,85.17,16.96
324,pevek,50,,1620042454,99,69.7008,170.3133,0.97,6.91
325,bolungarvik,,,,,,,,
326,kachikau,,,,,,,,
327,victor harbor,96,,1620042454,91,-35.5667,138.6167,55.99,3
328,ancud,20,,1620042455,100,-41.8697,-73.8203,39.2,4.61
329,byron bay,4,,1620042317,100,-28.65,153.6167,61,1.14
330,tabiauea,,,,,,,,
331,tiksi,100,,1620042455,93,71.6872,128.8694,28.51,4.99
332,sawakin,0,,1620042455,56,19.1059,37.3321,90.54,11.56
333,ilula,100,,1620042456,72,-7.6766,36.0366,70.48,7.05
334,sri aman,,,,,,,,
335,bilma,3,,1620042456,3,18.6853,12.9164,105.96,8.05
336,aberdeen,75,,1620042272,81,57.1437,-2.0981,46.99,11.5
337,formosa,20,,1620042457,88,-26.1775,-58.1781,73.4,5.75
338,hobyo,98,,1620042457,63,5.3505,48.5268,86.88,11.14
339,omboue,93,,1620042457,68,-1.5746,9.2618,85.71,6.49
340,katsuura,20,,1620042425,72,35.1333,140.3,63,4.61
341,conde,0,,1620042411,83,-7.2597,-34.9075,77,6.91
342,havoysund,0,,1620042458,55,70.9963,24.6622,37.4,3.44
343,igarka,100,,1620042458,98,67.4667,86.5833,32.77,8.97
344,itarema,,,,,,,,
345,san luis,100,,1620042178,79,-33.295,-66.3356,60.85,6.26
346,seoul,0,,1620042240,62,37.5683,126.9778,59,5.75
347,frederico westphalen,0,,1620042459,71,-27.3592,-53.3944,66.27,4.03
348,harper,100,,1620042459,77,4.375,-7.7169,83.48,8.72
349,pringsewu,95,,1620042459,92,-5.3582,104.9744,76.51,1.95
350,koungheul,32,,1620042520,17,13.9833,-14.8,94.33,8.05
351,clyde river,1,,1620042520,93,70.4692,-68.5914,21.2,21.85
352,luanda,75,,1620042520,94,-8.8368,13.2343,77,9.22
353,polovinnoye,70,,1620042520,38,54.7914,65.9864,56.73,8.7
354,salalah,75,,1620042521,70,17.0151,54.0924,87.8,11.5
355,hambantota,75,,1620042521,89,6.1241,81.1185,84.2,2.3
356,panshi,95,,1620042521,44,42.9422,126.0561,57.06,15.97
357,carutapera,22,,1620042522,79,-1.195,-46.02,80.73,3.83
358,preobrazhenskaya,,,,,,,,
359,aflu,,,,,,,,
360,moron,100,,1620042293,84,-34.6534,-58.6198,69.01,3
361,marcona,,,,,,,,
362,kavieng,39,,1620042522,75,-2.5744,150.7967,82.6,3.33
363,paoua,91,,1620042523,24,7.2427,16.4406,99.61,6.51
364,magadan,32,,1620042523,79,59.5667,150.8,32.92,7.25
365,bacolod,35,,1620042523,74,10.6667,122.95,82.17,10.11
366,ahuimanu,75,,1620042524,73,21.4447,-157.8378,75.2,8.05
367,akora,40,,1620042524,25,34.0036,72.1261,98.6,9.22
368,barmer,33,,1620042524,12,25.75,71.3833,100.4,17.72
369,manacapuru,75,,1620042525,100,-3.2997,-60.6206,75.2,2.3
370,jumla,100,,1620042525,81,29.2747,82.1838,54.97,5.03
371,san carlos de bariloche,75,,1620042525,70,-41.1456,-71.3082,42.8,19.57
372,coquimbo,0,,1620042526,87,-29.9533,-71.3436,51.8,10.36
373,korfovskiy,0,,1620042526,49,48.2183,135.0564,46.4,11.18
374,karratha,92,,1620042526,62,-20.7377,116.8463,81,8.72
375,awjilah,34,,1620042526,5,29.1081,21.2869,108.52,13.47
376,bull savanna,76,,1620042527,78,17.8868,-77.5902,76.35,9.33
377,nabire,88,,1620042378,86,-3.3667,135.4833,78.48,2.08
378,luan,,,,,,,,
379,stillwater,1,,1620042409,88,36.1156,-97.0584,64.4,6.91
380,airai,,,,,,,,
381,beira,20,,1620042528,50,-19.8436,34.8389,78.8,10.67
382,galiwinku,,,,,,,,
383,okhotsk,46,,1620042528,79,59.3833,143.3,33.96,3.58
384,maniitsoq,0,,1620042528,54,65.4167,-52.9,37.72,9.37
385,shimoda,1,,1620042529,56,34.6667,138.95,61,1.01
386,fairmont,100,,1620042529,94,39.4851,-80.1426,55.99,4.03
387,lagunas,96,,1620042529,98,-5.2269,-75.6753,72.3,0.34
388,san pedro de macoris,20,,1620042529,94,18.4616,-69.2972,75.99,4.61
389,azimur,,,,,,,,
390,shubarshi,71,,1620042530,21,48.5872,57.1869,76.23,5.57
391,orizona,0,,1620042530,61,-17.0314,-48.2958,68.2,8.55
392,haines junction,100,,1620042530,80,60.7522,-137.5108,26.6,1.45
393,pahrump,0,,1620042316,28,36.2083,-115.9839,62.01,11.99
394,russell,90,,1620042327,88,32.3502,-85.1999,69.8,5.75
395,cayenne,90,,1620042531,94,4.9333,-52.3333,80.01,7.83
396,muros,23,,1620042531,29,42.7762,-9.0603,66.99,8.12
397,banda aceh,99,,1620042532,77,5.5577,95.3222,83.34,7.78
398,labrea,100,,1620042532,93,-7.2586,-64.7981,74.62,1.07
399,palmer,75,,1620042532,93,42.1584,-72.3287,57,2.57
400,tinnanur,40,,1620042532,62,13.1114,80.0261,89.01,9.22
401,attawapiskat,,,,,,,,
402,tahoua,0,,1620042533,4,14.8888,5.2692,105.8,6.91
403,san jose de buan,48,,1620042533,97,12.0529,125.0251,74.64,3.44
404,collie,67,,1620042534,68,-33.3667,116.15,60.01,1.99
405,belyy yar,0,,1620042534,20,53.6039,91.3903,60.8,8.95
406,arlit,1,,1620042534,2,18.7369,7.3853,107.06,6.98
407,tari,,,,,,,,
408,biltine,10,,1620042535,6,14.5333,20.9167,104.72,9.6
409,agara,0,,1620042595,43,42.0376,43.8238,74.79,6.15
410,marzuq,,,,,,,,
411,sarangani,99,,1620042595,77,5.4033,125.4636,83.43,19.71
412,leningradskiy,75,,1620042596,91,69.3833,178.4167,6.26,6.02
413,edd,99,,1620042596,60,13.9297,41.6925,88.43,10.4
414,faya,,,,,,,,
415,lons,0,,1620042596,51,43.3167,-0.4,62.6,3.44
416,saraza,93,,1620042597,83,8.7356,117.78,81.72,12.37
417,inongo,100,,1620042597,79,-1.95,18.2667,76.28,5.88
418,mount isa,1,,1620042597,40,-20.7333,139.5,68,10.38
419,north branch,1,,1620042598,81,45.5113,-92.9802,43,8.05
420,jiddah,,,,,,,,
421,wanning,12,,1620042598,79,18.8003,110.3967,78.96,7.63
422,huarmey,41,,1620042598,87,-10.0681,-78.1522,66.47,2.55
423,inuvik,99,,1620042599,86,68.3499,-133.7218,21.2,9.22
424,saint john,20,,1620042599,52,45.2727,-66.0677,42.01,18.41
425,chesma,77,,1620042599,46,53.8111,60.6533,58.59,1.79
426,chhabra,43,,1620042600,15,24.6667,76.8333,97.11,18.68
427,teya,100,,1620042600,98,60.3778,92.6267,39.51,5.75
428,noyabrsk,40,,1620042600,50,63.1994,75.4507,40.82,8.48
429,grand island,1,,1620042433,76,40.925,-98.342,52,21.85
